Date	Race	Track	Start_time	TV_channel	Radio	Winner
Feb. 19	Daytona 500	Daytona International Speedway	2:30 p.m.	Fox	MRN	Ricky Stenhouse Jr.
Feb. 26	Pala Casino 400	Auto Club Speedway	3:30 p.m.	Fox	MRN	Kyle Busch
March 5 Pennzoil 400	Las Vegas Motor Speedway	3:30 p.m.	Fox	PRN	William Byron
March 12	United Rentals Work United 500	Phoenix Raceway	3:30 p.m.	Fox	MRN	William Byron
March 19	Ambetter Health 400	Atlanta Motor Speedway	3 p.m.	Fox	PRN	Joey Logano
March 26	EchoPark Automotive Grand Prix	Circuit of the Americas	3:30 p.m.	Fox	PRN	Tyler Reddick
April 2	Toyota Owners 400	Richmond Raceway	3:30 p.m.	FS1	MRN	Kyle Larson
April 9	Food City Dirt Race	Bristol Motor Speedway	7 p.m.	Fox	PRN	Christopher Bell
April 16	NOCO 400	Martinsville Speedway	3 p.m.	FS1	MRN	Kyle Larson
April 23	GEICO 500	Talladega Superspeedway	3 p.m.	Fox	MRN	Kyle Busch
May 1	Wurth 400	Dover Motor Speedway	12 p.m.	FS1	PRN	Martin Truex Jr.
May 7	AdventHealth 400	Kansas Speedway	3 p.m.	FS1	MRN	Denny Hamlin
May 14	Goodyear 400	Darlington Raceway	3 p.m.	FS1	MRN	William Byron
May 21	NASCAR All-Star Open	North Wilkesboro Speedway	5 p.m.	FS1	MRN	Josh Berry
May 21	NASCAR All-Star Race	North Wilkesboro Speedway	8 p.m.	FS1	MRN	Kyle Larson
May 28	Coca-Cola 600	Charlotte Motor Speedway	6 p.m.	Fox	PRN	Ryan Blaney
June 4	Enjoy Illinois 300	World Wide Technology Raceway	3:30 p.m.	FS1	MRN	Kyle Busch
June 11	Toyota/Save Mart 350	Sonoma Raceway	3:30 p.m.	Fox	PRN	Martin Truex Jr.
June 25	Ally 400	Nashville Superspeedway	7 p.m.	NBC	PRN	Ross Chastain
July 2	Grant Park 220	Chicago Street Course	5:30 p.m.	NBC	MRN	Shane van Gisbergern
July 9	Quaker State 400	Atlanta Motor Speedway	7 p.m.	USA	PRN	William Byron
July 16	Crayon 301	New Hampshire Motor Speedway	2:30 p.m.	USA	PRN	Martin Truex Jr.
July 23	M&M's Fan Appreciation 400	Pocono Raceway	2:30 p.m.	USA	MRN	Denny Hamlin
July 30	HighPoint.com 400	Richmond Raceway	3 p.m.	USA	MRN	Chris Buescher
Aug. 6	FireKeepers Casino 400	Michigan International Speedway	2:30 p.m.	USA	MRN	Chris Buescher
Aug. 13	Verizon 200 at the Brickyard	Speedway Road Course	2:30 p.m.	NBC	IMS	Michael McDowell
Aug. 20	Go Bowling at the Glen	Watkins Glen International	3 p.m.	USA	MRN	William Byron
Aug. 26	Coke Zero Sugar 400	Daytona International Speedway	7 p.m.	NBC	MRN	Chris Buescher
Sept. 3	Southern 500	Darlington Raceway	6 p.m.	USA	MRN	Kyle Larson
Sept. 10	Hollywood Casino 400	Kansas Speedway	3 p.m.	USA	MRN	Tyler Reddick
Sept. 16	Bass Pro Shops Night Race	Bristol Motor Speedway	7:30 p.m.	USA	PRN	Denny Hamlin
Sept. 24	AutoTrader EchoPark Automotive 400	Texas Motor Speedway	3:30 p.m.	USA	PRN	William Byron
Oct. 1	YellaWood 500	Talladega Superspeedway	2 p.m.	NBC	MRN	Ryan Blaney
Oct. 8	Bank of America Roval 400	Charlotte Motor Speedway Roval	2 p.m.	NBC	PRN	A.J. Allmendinger
Oct. 15	South Point 400	Las Vegas Motor Speedway	2:30 p.m.	NBC	PRN	Kyle Larson
Oct. 22	4EVER 400 Presented by Mobile 1	Homestead-Miami Speedway	2:30 p.m.	NBC	MRN	Christopher Bell
Oct. 30	Xfinity 500	Martinsville Speedway	2 p.m.	NBC	MRN	Ryan Blaney
Nov. 6	NASCAR Cup Series Championship	Phoenix Raceway	3 p.m.	NBC	MRN	--
