date_created,date_updated,RACE_ID,RACE_NAME,RACE_DATE,user_id,TRACK_ID,"Race Time",TV/RADIO
"2024-02-23 15:59:34.321571","2024-02-25 00:50:04.618512",1,"Daytona 500",2024-02-18,1,10,19:41:14.000000,FOX/PRN
"2024-02-23 17:52:43.446128","2024-02-25 00:47:17.158112",2,"Ambetter Health 400",2024-02-25,1,1,15:00:00.000000,Fox/PRN
"2024-02-24 00:33:50.147096","2024-02-25 00:50:48.294368",3,"Pennzoil 400",2024-03-03,1,16,15:30:00.000000,Fox/PRN
"2024-02-25 00:52:04.912940","2024-02-25 00:52:04.913940",4,"Shriners Children's 500",2024-03-10,1,7,15:30:00.000000,Fox/PRN
"2024-02-25 14:09:12.360927","2024-02-25 14:09:12.360927",5,"NASCAR Cup Series at Atlanta",2023-03-19,1,1,12:00:00.000000,Fox/PRN
"2024-02-26 20:37:40.617417","2024-02-26 20:37:40.617417",6,"NASCAR Cup Series at Bristol",2024-03-17,1,3,15:30:00.000000,Fox/PRN
"2024-02-26 20:38:41.781292","2024-02-26 20:38:41.781292",7,"NASCAR Cup Series at Circuit of the Americas",2024-03-24,1,4,15:30:00.000000,Fox/PRN
"2024-02-26 20:39:59.781762","2024-02-26 20:39:59.781762",8,"NASCAR Cup Series at Richmond",2024-03-31,1,22,19:00:00.000000,Fox/PRN
"2024-02-26 20:41:05.100743","2024-02-26 20:41:05.100743",9,"NASCAR Cup Series at Martinsville",2024-04-07,1,18,15:00:00.000000,FS1
"2024-02-26 20:42:38.341992","2024-02-26 20:42:38.341992",10,"NASCAR Cup Series at Texas",2024-04-14,1,26,15:30:00.000000,FS1
"2024-02-27 19:13:00.664046","2024-02-27 19:13:00.664046",11,"PENNZOIL 400 PRESENTED BY JIFFY LUBE",2023-03-05,1,16,14:10:51.000000,Fox/PRN
"2024-02-27 19:22:36.668076","2024-02-27 19:22:36.668076",12,"EchoPark Automotive Grand Prix",2023-03-26,1,4,14:10:51.000000,Fox/PRN
"2024-02-27 19:30:42.200233","2024-02-27 19:30:42.200233",13,"Pennzoil 400",2022-03-06,1,16,14:27:33.000000,Fox/PRN
