TEAM_ID,TEAM_NAME,DATE_CREATED,DATE_UPDATED
1,"Team Penske","2024-02-19 10:36:06","2024-02-19 10:36:06"
2,"Hendrick Motorsports","2024-02-19 10:37:28","2024-02-19 10:37:28"
3,"Joe Gibbs Racing","2024-02-19 10:40:21","2024-02-19 10:40:21"
4,"RFK Racing","2024-02-19 10:40:21","2024-02-19 10:40:21"
5,"Legacy Motor Club","2024-02-19 10:40:21","2024-02-19 10:40:21"
9,"Wood Brothers Racing","2024-02-19 10:44:39","2024-02-19 10:44:39"
10,"Spire Motorsports","2024-02-19 10:44:39","2024-02-19 10:44:39"
11,"Richard Childress Racing","2024-02-19 10:44:39","2024-02-19 10:44:39"
12,"Beard Motorsports","2024-02-19 10:44:39","2024-02-19 10:44:39"
13,"Kaulig Racing","2024-02-19 10:44:39","2024-02-19 10:44:39"
14,"Rick Ware Racing","2024-02-19 10:45:16","2024-02-19 10:45:16"
