id,date_created,date_updated,name,owner,track_length,configuration,city,state,user_id
1,"2024-02-22 23:27:48.826500","2024-02-22 23:27:48.826500","Atlanta Motor Speedway","Speedway Motorsports",1.54,Quad-oval,Hampton," Georgia",1
2,"2024-02-22 23:27:48.930002","2024-02-22 23:27:48.930002","Auto Club Speedway",NASCAR,2,"paved D-shaped oval",Fontana,California,1
3,"2024-02-22 23:27:48.946218","2024-02-22 23:27:48.946218","Bristol Motor Speedway","Speedway Motorsports",0.533,"Concrete oval / Dirt oval",Bristol," Tennessee",1
4,"2024-02-22 23:27:48.953347","2024-02-22 23:27:48.953347","Circuit Of The Americas",LLC,3.426,"Road course",Austin," Texas",1
5,"2024-02-22 23:27:48.966475","2024-02-22 23:27:48.966475","Charlotte Motor Speedway","Speedway Motorsports",1.5,Quad-oval,Concord," North Carolina",1
6,"2024-02-22 23:27:48.994255","2024-02-22 23:27:48.994255","Charlotte Motor Speedway Roval","Speedway Motorsports",2.28,"Road course",Concord," North Carolina",1
7,"2024-02-22 23:27:49.006760","2024-02-22 23:27:49.006760","Phoenix Raceway",NASCAR,1.022,"Dogleg oval",Avondale," Arizona",1
8,"2024-02-22 23:27:49.016424","2024-02-22 23:27:49.016424","Michigan International Speedway",NASCAR,2,"D-shaped oval",Brooklyn," Michigan",1
9,"2024-02-22 23:27:49.021424","2024-02-22 23:27:49.021424","Darlington Raceway",NASCAR,1.366,"Egg-shaped oval",Darlington," South Carolina",1
10,"2024-02-22 23:27:49.038129","2024-02-22 23:27:49.038129","Daytona International Speedway",NASCAR,2.5,Tri-oval,"Daytona Beach"," Florida",1
11,"2024-02-22 23:27:49.043129","2024-02-22 23:27:49.043129","Daytona International Speedway Road Course",NASCAR,3.57,"Road Course","Daytona Beach"," Florida",1
12,"2024-02-22 23:27:49.058162","2024-02-22 23:27:49.058162","Dover Motor Speedway","Speedway Motorsports",1,"Concrete oval",Dover,"New Hampshire",1
13,"2024-02-22 23:27:49.063165","2024-02-22 23:27:49.063165","Homesteadâ€“Miami Speedway",NASCAR,1.485,"Classic oval",Homestead,Florida,1
14,"2024-02-22 23:27:49.075985","2024-02-22 23:27:49.075985","Indianapolis Motor Speedway Road Course","Penske Entertainment Corp.",2.439,"Road course",Speedway," Indiana",1
15,"2024-02-22 23:27:49.082596","2024-02-22 23:27:49.082596","Kansas Speedway",NASCAR,1.52,Tri-oval,"Kansas City"," Kansas",1
16,"2024-02-22 23:27:49.087292","2024-02-22 23:27:49.087292","Las Vegas Motor Speedway","Speedway Motorsports",1.544,Tri-oval,"Clark County"," Nevada",1
17,"2024-02-22 23:27:49.103171","2024-02-22 23:27:49.103171","Los Angeles Memorial Coliseum","Los Angeles Memorial Coliseum Commission",0.25,"Stadium oval","Los Angeles"," California",1
18,"2024-02-22 23:27:49.107175","2024-02-22 23:27:49.107175","Martinsville Speedway",NASCAR,0.526,"Paperclip-shaped oval",Ridgeway,Virginia,1
19,"2024-02-22 23:27:49.118175","2024-02-22 23:27:49.118175","Nashville Superspeedway","Speedway Motorsports",1.333,"Concrete Tri-oval",Lebanon," Tennessee",1
20,"2024-02-22 23:27:49.127175","2024-02-22 23:27:49.127175","New Hampshire Motor Speedway","Speedway Motorsports",1.058,"Paperclip oval",Loudon," New Hampshire",1
21,"2024-02-22 23:27:49.132175","2024-02-22 23:27:49.132175","Pocono Raceway","Mattco Inc.",2.5,"Triangular-shaped oval","Long Pond"," Pennsylvania",1
22,"2024-02-22 23:27:49.147182","2024-02-22 23:27:49.147182","Richmond Raceway",NASCA,0.75,"D-shaped oval","Henrico County"," Virginia",1
23,"2024-02-22 23:27:49.152183","2024-02-22 23:27:49.152183","Road America","Road America Inc.",4.048,"Road course","Elkhart Lake"," Wisconsin",1
24,"2024-02-22 23:27:49.162183","2024-02-22 23:27:49.162183","Sonoma Raceway","Speedway Motorsports",2.52,"Road course",Sonoma," California",1
25,"2024-02-22 23:27:49.172085","2024-02-22 23:27:49.172085","Talladega Superspeedway",NASCAR,2.66,Tri-oval,Talladega," Alabama",1
26,"2024-02-22 23:27:49.176085","2024-02-22 23:27:49.176085","Texas Motor Speedway","Speedway Motorsports",1.44,Quad-oval,"Fort Worth"," Texas",1
27,"2024-02-22 23:27:49.192949","2024-02-22 23:27:49.192949","Watkins Glen International",NASCAR,2.45,"Road course","Watkins Glen"," New York",1
28,"2024-02-22 23:27:49.197636","2024-02-22 23:27:49.197636","World Wide Technology Raceway","Curtis Francois",1.25,"Egg-shaped oval",Madison," Illinois",1
